v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -51.800000                     0.000402          0.005943
   -51.700000                     0.000402          0.005951
   -51.600000                     0.000403          0.005960
   -51.500000                     0.000404          0.005969
   -51.400000                     0.000404          0.005978
   -51.300000                     0.000405          0.005987
   -51.200000                     0.000405          0.005995
   -51.100000                     0.000406          0.006004
   -51.000000                     0.000407          0.006013
   -50.900000                     0.000407          0.006022
   -50.800000                     0.000408          0.006031
   -50.700000                     0.000408          0.006040
   -50.600000                     0.000409          0.006049
   -50.500000                     0.000410          0.006058
   -50.400000                     0.000410          0.006067
   -50.300000                     0.000411          0.006076
   -50.200000                     0.000411          0.006085
   -50.100000                     0.000412          0.006094
   -50.000000                     0.000413          0.006103
   -49.900000                     0.000413          0.006112
   -49.800000                     0.000414          0.006121
   -49.700000                     0.000414          0.006130
   -49.600000                     0.000415          0.006139
   -49.500000                     0.000416          0.006149
   -49.400000                     0.000416          0.006158
   -49.300000                     0.000417          0.006167
   -49.200000                     0.000418          0.006176
   -49.100000                     0.000418          0.006186
   -49.000000                     0.000419          0.006195
   -48.900000                     0.000419          0.006204
   -48.800000                     0.000420          0.006214
   -48.700000                     0.000421          0.006223
   -48.600000                     0.000421          0.006232
   -48.500000                     0.000422          0.006242
   -48.400000                     0.000423          0.006251
   -48.300000                     0.000423          0.006261
   -48.200000                     0.000424          0.006270
   -48.100000                     0.000425          0.006280
   -48.000000                     0.000425          0.006289
   -47.900000                     0.000426          0.006299
   -47.800000                     0.000426          0.006309
   -47.700000                     0.000427          0.006318
   -47.600000                     0.000428          0.006328
   -47.500000                     0.000428          0.006337
   -47.400000                     0.000429          0.006347
   -47.300000                     0.000430          0.006357
   -47.200000                     0.000430          0.006367
   -47.100000                     0.000431          0.006376
   -47.000000                     0.000432          0.006386
   -46.900000                     0.000432          0.006396
   -46.800000                     0.000433          0.006406
   -46.700000                     0.000434          0.006416
   -46.600000                     0.000434          0.006425
   -46.500000                     0.000435          0.006435
   -46.400000                     0.000436          0.006445
   -46.300000                     0.000436          0.006455
   -46.200000                     0.000437          0.006465
   -46.100000                     0.000438          0.006475
   -46.000000                     0.000438          0.006485
   -45.900000                     0.000439          0.006495
   -45.800000                     0.000440          0.006505
   -45.700000                     0.000440          0.006516
   -45.600000                     0.000441          0.006526
   -45.500000                     0.000442          0.006536
   -45.400000                     0.000443          0.006546
   -45.300000                     0.000443          0.006556
   -45.200000                     0.000444          0.006567
   -45.100000                     0.000445          0.006577
   -45.000000                     0.000445          0.006587
   -44.900000                     0.000446          0.006597
   -44.800000                     0.000447          0.006608
   -44.700000                     0.000447          0.006618
   -44.600000                     0.000448          0.006629
   -44.500000                     0.000449          0.006639
   -44.400000                     0.000450          0.006649
   -44.300000                     0.000450          0.006660
   -44.200000                     0.000451          0.006670
   -44.100000                     0.000452          0.006681
   -44.000000                     0.000452          0.006692
   -43.900000                     0.000453          0.006702
   -43.800000                     0.000454          0.006713
   -43.700000                     0.000455          0.006723
   -43.600000                     0.000455          0.006734
   -43.500000                     0.000456          0.006745
   -43.400000                     0.000457          0.006756
   -43.300000                     0.000457          0.006766
   -43.200000                     0.000458          0.006777
   -43.100000                     0.000459          0.006788
   -43.000000                     0.000460          0.006799
   -42.900000                     0.000460          0.006810
   -42.800000                     0.000461          0.006821
   -42.700000                     0.000462          0.006831
   -42.600000                     0.000463          0.006842
   -42.500000                     0.000463          0.006853
   -42.400000                     0.000464          0.006864
   -42.300000                     0.000465          0.006875
   -42.200000                     0.000466          0.006887
   -42.100000                     0.000466          0.006898
   -42.000000                     0.000467          0.006909
   -41.900000                     0.000468          0.006920
   -41.800000                     0.000469          0.006931
   -41.700000                     0.000469          0.006942
   -41.600000                     0.000470          0.006954
   -41.500000                     0.000471          0.006965
   -41.400000                     0.000472          0.006976
   -41.300000                     0.000472          0.006988
   -41.200000                     0.000473          0.006999
   -41.100000                     0.000474          0.007010
   -41.000000                     0.000475          0.007022
   -40.900000                     0.000475          0.007033
   -40.800000                     0.000476          0.007045
   -40.700000                     0.000477          0.007056
   -40.600000                     0.000478          0.007068
   -40.500000                     0.000479          0.007080
   -40.400000                     0.000479          0.007091
   -40.300000                     0.000480          0.007103
   -40.200000                     0.000481          0.007114
   -40.100000                     0.000482          0.007126
   -40.000000                     0.000483          0.007138
   -39.900000                     0.000483          0.007150
   -39.800000                     0.000484          0.007162
   -39.700000                     0.000485          0.007173
   -39.600000                     0.000486          0.007185
   -39.500000                     0.000487          0.007197
   -39.400000                     0.000487          0.007209
   -39.300000                     0.000488          0.007221
   -39.200000                     0.000489          0.007233
   -39.100000                     0.000490          0.007245
   -39.000000                     0.000491          0.007257
   -38.900000                     0.000491          0.007269
   -38.800000                     0.000492          0.007282
   -38.700000                     0.000493          0.007294
   -38.600000                     0.000494          0.007306
   -38.500000                     0.000495          0.007318
   -38.400000                     0.000496          0.007331
   -38.300000                     0.000496          0.007343
   -38.200000                     0.000497          0.007355
   -38.100000                     0.000498          0.007368
   -38.000000                     0.000499          0.007380
   -37.900000                     0.000500          0.007393
   -37.800000                     0.000501          0.007405
   -37.700000                     0.000501          0.007418
   -37.600000                     0.000502          0.007430
   -37.500000                     0.000503          0.007443
   -37.400000                     0.000504          0.007455
   -37.300000                     0.000505          0.007468
   -37.200000                     0.000506          0.007481
   -37.100000                     0.000507          0.007494
   -37.000000                     0.000507          0.007506
   -36.900000                     0.000508          0.007519
   -36.800000                     0.000509          0.007532
   -36.700000                     0.000510          0.007545
   -36.600000                     0.000511          0.007558
   -36.500000                     0.000512          0.007571
   -36.400000                     0.000513          0.007584
   -36.300000                     0.000514          0.007597
   -36.200000                     0.000514          0.007610
   -36.100000                     0.000515          0.007623
   -36.000000                     0.000516          0.007636
   -35.900000                     0.000517          0.007649
   -35.800000                     0.000518          0.007663
   -35.700000                     0.000519          0.007676
   -35.600000                     0.000520          0.007689
   -35.500000                     0.000521          0.007703
   -35.400000                     0.000522          0.007716
   -35.300000                     0.000523          0.007729
   -35.200000                     0.000523          0.007743
   -35.100000                     0.000524          0.007756
   -35.000000                     0.000525          0.007770
   -34.900000                     0.000526          0.007783
   -34.800000                     0.000527          0.007797
   -34.700000                     0.000528          0.007811
   -34.600000                     0.000529          0.007824
   -34.500000                     0.000530          0.007838
   -34.400000                     0.000531          0.007852
   -34.300000                     0.000532          0.007866
   -34.200000                     0.000533          0.007880
   -34.100000                     0.000534          0.007893
   -34.000000                     0.000535          0.007907
   -33.900000                     0.000536          0.007921
   -33.800000                     0.000536          0.007935
   -33.700000                     0.000537          0.007950
   -33.600000                     0.000538          0.007964
   -33.500000                     0.000539          0.007978
   -33.400000                     0.000540          0.007992
   -33.300000                     0.000541          0.008006
   -33.200000                     0.000542          0.008021
   -33.100000                     0.000543          0.008035
   -33.000000                     0.000544          0.008049
   -32.900000                     0.000545          0.008064
   -32.800000                     0.000546          0.008078
   -32.700000                     0.000547          0.008093
   -32.600000                     0.000548          0.008107
   -32.500000                     0.000549          0.008122
   -32.400000                     0.000550          0.008136
   -32.300000                     0.000551          0.008151
   -32.200000                     0.000552          0.008166
   -32.100000                     0.000553          0.008180
   -32.000000                     0.000554          0.008195
   -31.900000                     0.000555          0.008210
   -31.800000                     0.000556          0.008225
   -31.700000                     0.000557          0.008240
   -31.600000                     0.000558          0.008255
   -31.500000                     0.000559          0.008270
   -31.400000                     0.000560          0.008285
   -31.300000                     0.000561          0.008300
   -31.200000                     0.000562          0.008315
   -31.100000                     0.000563          0.008331
   -31.000000                     0.000564          0.008346
   -30.900000                     0.000565          0.008361
   -30.800000                     0.000566          0.008377
   -30.700000                     0.000567          0.008392
   -30.600000                     0.000568          0.008407
   -30.500000                     0.000569          0.008423
   -30.400000                     0.000570          0.008438
   -30.300000                     0.000572          0.008454
   -30.200000                     0.000573          0.008470
   -30.100000                     0.000574          0.008485
   -30.000000                     0.000575          0.008501
   -29.900000                     0.000576          0.008517
   -29.800000                     0.000577          0.008533
   -29.700000                     0.000578          0.008549
   -29.600000                     0.000579          0.008565
   -29.500000                     0.000580          0.008581
   -29.400000                     0.000581          0.008597
   -29.300000                     0.000582          0.008613
   -29.200000                     0.000583          0.008629
   -29.100000                     0.000584          0.008645
   -29.000000                     0.000586          0.008661
   -28.900000                     0.000587          0.008678
   -28.800000                     0.000588          0.008694
   -28.700000                     0.000589          0.008710
   -28.600000                     0.000590          0.008727
   -28.500000                     0.000591          0.008743
   -28.400000                     0.000592          0.008760
   -28.300000                     0.000593          0.008777
   -28.200000                     0.000594          0.008793
   -28.100000                     0.000596          0.008810
   -28.000000                     0.000597          0.008827
   -27.900000                     0.000598          0.008844
   -27.800000                     0.000599          0.008861
   -27.700000                     0.000600          0.008878
   -27.600000                     0.000601          0.008895
   -27.500000                     0.000602          0.008912
   -27.400000                     0.000604          0.008929
   -27.300000                     0.000605          0.008946
   -27.200000                     0.000606          0.008963
   -27.100000                     0.000607          0.008980
   -27.000000                     0.000608          0.008998
   -26.900000                     0.000609          0.009015
   -26.800000                     0.000611          0.009033
   -26.700000                     0.000612          0.009050
   -26.600000                     0.000613          0.009068
   -26.500000                     0.000614          0.009085
   -26.400000                     0.000615          0.009103
   -26.300000                     0.000617          0.009121
   -26.200000                     0.000618          0.009138
   -26.100000                     0.000619          0.009156
   -26.000000                     0.000620          0.009174
   -25.900000                     0.000621          0.009192
   -25.800000                     0.000623          0.009210
   -25.700000                     0.000624          0.009228
   -25.600000                     0.000625          0.009246
   -25.500000                     0.000626          0.009265
   -25.400000                     0.000628          0.009283
   -25.300000                     0.000629          0.009301
   -25.200000                     0.000630          0.009320
   -25.100000                     0.000631          0.009338
   -25.000000                     0.000633          0.009357
   -24.900000                     0.000634          0.009375
   -24.800000                     0.000635          0.009394
   -24.700000                     0.000636          0.009413
   -24.600000                     0.000638          0.009431
   -24.500000                     0.000639          0.009450
   -24.400000                     0.000640          0.009469
   -24.300000                     0.000641          0.009488
   -24.200000                     0.000643          0.009507
   -24.100000                     0.000644          0.009526
   -24.000000                     0.000645          0.009545
   -23.900000                     0.000647          0.009565
   -23.800000                     0.000648          0.009584
   -23.700000                     0.000649          0.009603
   -23.600000                     0.000651          0.009623
   -23.500000                     0.000652          0.009642
   -23.400000                     0.000653          0.009662
   -23.300000                     0.000655          0.009682
   -23.200000                     0.000656          0.009701
   -23.100000                     0.000657          0.009721
   -23.000000                     0.000659          0.009741
   -22.900000                     0.000660          0.009761
   -22.800000                     0.000661          0.009781
   -22.700000                     0.000663          0.009801
   -22.600000                     0.000664          0.009821
   -22.500000                     0.000665          0.009841
   -22.400000                     0.000667          0.009861
   -22.300000                     0.000668          0.009882
   -22.200000                     0.000669          0.009902
   -22.100000                     0.000671          0.009923
   -22.000000                     0.000672          0.009943
   -21.900000                     0.000674          0.009964
   -21.800000                     0.000675          0.009984
   -21.700000                     0.000676          0.010005
   -21.600000                     0.000678          0.010026
   -21.500000                     0.000679          0.010047
   -21.400000                     0.000681          0.010068
   -21.300000                     0.000682          0.010089
   -21.200000                     0.000684          0.010110
   -21.100000                     0.000685          0.010131
   -21.000000                     0.000686          0.010153
   -20.900000                     0.000688          0.010174
   -20.800000                     0.000689          0.010196
   -20.700000                     0.000691          0.010217
   -20.600000                     0.000692          0.010239
   -20.500000                     0.000694          0.010260
   -20.400000                     0.000695          0.010282
   -20.300000                     0.000697          0.010304
   -20.200000                     0.000698          0.010326
   -20.100000                     0.000700          0.010348
   -20.000000                     0.000701          0.010370
   -19.900000                     0.000703          0.010392
