v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   -17.700000                      34.559058          0.004722
   -17.600000                      34.603556          0.004728
   -17.500000                      34.648148          0.004734
   -17.400000                      34.692834          0.004740
   -17.300000                      34.737614          0.004746
   -17.200000                      34.782490          0.004752
   -17.100000                      34.827460          0.004758
   -17.000000                      34.872526          0.004764
   -16.900000                      34.917688          0.004771
   -16.800000                      34.962946          0.004777
   -16.700000                      35.008300          0.004783
   -16.600000                      35.053751          0.004789
   -16.500000                      35.099299          0.004795
   -16.400000                      35.144943          0.004802
   -16.300000                      35.190686          0.004808
   -16.200000                      35.236526          0.004814
   -16.100000                      35.282465          0.004820
   -16.000000                      35.328502          0.004827
   -15.900000                      35.374638          0.004833
   -15.800000                      35.420873          0.004839
   -15.700000                      35.467207          0.004846
   -15.600000                      35.513641          0.004852
   -15.500000                      35.560175          0.004858
   -15.400000                      35.606810          0.004865
   -15.300000                      35.653545          0.004871
   -15.200000                      35.700381          0.004878
   -15.100000                      35.747319          0.004884
   -15.000000                      35.794358          0.004890
   -14.900000                      35.841499          0.004897
   -14.800000                      35.888743          0.004903
   -14.700000                      35.936089          0.004910
   -14.600000                      35.983538          0.004916
   -14.500000                      36.031091          0.004923
   -14.400000                      36.078747          0.004929
   -14.300000                      36.126507          0.004936
   -14.200000                      36.174371          0.004942
   -14.100000                      36.222340          0.004949
   -14.000000                      36.270415          0.004955
   -13.900000                      36.318594          0.004962
   -13.800000                      36.366879          0.004969
   -13.700000                      36.415270          0.004975
   -13.600000                      36.463767          0.004982
   -13.500000                      36.512372          0.004988
   -13.400000                      36.561083          0.004995
   -13.300000                      36.609901          0.005002
   -13.200000                      36.658828          0.005008
   -13.100000                      36.707862          0.005015
   -13.000000                      36.757005          0.005022
   -12.900000                      36.806257          0.005029
   -12.800000                      36.855618          0.005035
   -12.700000                      36.905088          0.005042
   -12.600000                      36.954669          0.005049
   -12.500000                      37.004360          0.005056
   -12.400000                      37.054161          0.005062
   -12.300000                      37.104073          0.005069
   -12.200000                      37.154097          0.005076
   -12.100000                      37.204232          0.005083
   -12.000000                      37.254480          0.005090
   -11.900000                      37.304840          0.005097
   -11.800000                      37.355312          0.005104
   -11.700000                      37.405898          0.005111
   -11.600000                      37.456598          0.005117
   -11.500000                      37.507412          0.005124
   -11.400000                      37.558340          0.005131
   -11.300000                      37.609383          0.005138
   -11.200000                      37.660540          0.005145
   -11.100000                      37.711814          0.005152
   -11.000000                      37.763203          0.005159
   -10.900000                      37.814709          0.005166
   -10.800000                      37.866331          0.005173
   -10.700000                      37.918071          0.005180
   -10.600000                      37.969928          0.005188
   -10.500000                      38.021902          0.005195
   -10.400000                      38.073996          0.005202
   -10.300000                      38.126207          0.005209
   -10.200000                      38.178538          0.005216
   -10.100000                      38.230989          0.005223
   -10.000000                      38.283559          0.005230
    -9.900000                      38.336249          0.005238
    -9.800000                      38.389061          0.005245
    -9.700000                      38.441993          0.005252
    -9.600000                      38.495047          0.005259
    -9.500000                      38.548223          0.005267
    -9.400000                      38.601522          0.005274
    -9.300000                      38.654943          0.005281
    -9.200000                      38.708487          0.005288
    -9.100000                      38.762155          0.005296
    -9.000000                      38.815948          0.005303
    -8.900000                      38.869864          0.005311
    -8.800000                      38.923906          0.005318
    -8.700000                      38.978073          0.005325
    -8.600000                      39.032366          0.005333
    -8.500000                      39.086785          0.005340
    -8.400000                      39.141331          0.005348
    -8.300000                      39.196004          0.005355
    -8.200000                      39.250804          0.005363
    -8.100000                      39.305733          0.005370
    -8.000000                      39.360790          0.005378
    -7.900000                      39.415976          0.005385
    -7.800000                      39.471291          0.005393
    -7.700000                      39.526737          0.005400
    -7.600000                      39.582312          0.005408
    -7.500000                      39.638018          0.005415
    -7.400000                      39.693856          0.005423
    -7.300000                      39.749825          0.005431
    -7.200000                      39.805926          0.005438
    -7.100000                      39.862160          0.005446
    -7.000000                      39.918527          0.005454
    -6.900000                      39.975028          0.005462
    -6.800000                      40.031663          0.005469
    -6.700000                      40.088432          0.005477
    -6.600000                      40.145336          0.005485
    -6.500000                      40.202376          0.005493
    -6.400000                      40.259551          0.005500
    -6.300000                      40.316863          0.005508
    -6.200000                      40.374312          0.005516
    -6.100000                      40.431899          0.005524
    -6.000000                      40.489623          0.005532
    -5.900000                      40.547486          0.005540
    -5.800000                      40.605488          0.005548
    -5.700000                      40.663629          0.005556
    -5.600000                      40.721910          0.005564
    -5.500000                      40.780331          0.005572
    -5.400000                      40.838894          0.005580
    -5.300000                      40.897598          0.005588
    -5.200000                      40.956444          0.005596
    -5.100000                      41.015432          0.005604
    -5.000000                      41.074564          0.005612
    -4.900000                      41.133839          0.005620
    -4.800000                      41.193258          0.005628
    -4.700000                      41.252822          0.005636
    -4.600000                      41.312530          0.005644
    -4.500000                      41.372385          0.005652
    -4.400000                      41.432386          0.005661
    -4.300000                      41.492533          0.005669
    -4.200000                      41.552828          0.005677
