v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -46.300000                     0.000453          0.006943
   -46.200000                     0.000454          0.006954
   -46.100000                     0.000455          0.006965
   -46.000000                     0.000456          0.006977
   -45.900000                     0.000456          0.006988
   -45.800000                     0.000457          0.006999
   -45.700000                     0.000458          0.007011
   -45.600000                     0.000459          0.007022
   -45.500000                     0.000459          0.007034
   -45.400000                     0.000460          0.007045
   -45.300000                     0.000461          0.007057
   -45.200000                     0.000462          0.007068
   -45.100000                     0.000462          0.007080
   -45.000000                     0.000463          0.007092
   -44.900000                     0.000464          0.007103
   -44.800000                     0.000465          0.007115
   -44.700000                     0.000465          0.007127
   -44.600000                     0.000466          0.007138
   -44.500000                     0.000467          0.007150
   -44.400000                     0.000468          0.007162
   -44.300000                     0.000468          0.007174
   -44.200000                     0.000469          0.007186
   -44.100000                     0.000470          0.007198
   -44.000000                     0.000471          0.007210
   -43.900000                     0.000472          0.007222
   -43.800000                     0.000472          0.007234
   -43.700000                     0.000473          0.007246
   -43.600000                     0.000474          0.007258
   -43.500000                     0.000475          0.007270
   -43.400000                     0.000476          0.007282
   -43.300000                     0.000476          0.007294
   -43.200000                     0.000477          0.007307
   -43.100000                     0.000478          0.007319
   -43.000000                     0.000479          0.007331
   -42.900000                     0.000480          0.007343
   -42.800000                     0.000480          0.007356
   -42.700000                     0.000481          0.007368
   -42.600000                     0.000482          0.007381
   -42.500000                     0.000483          0.007393
   -42.400000                     0.000484          0.007406
   -42.300000                     0.000484          0.007418
   -42.200000                     0.000485          0.007431
   -42.100000                     0.000486          0.007443
   -42.000000                     0.000487          0.007456
   -41.900000                     0.000488          0.007469
   -41.800000                     0.000489          0.007481
   -41.700000                     0.000489          0.007494
   -41.600000                     0.000490          0.007507
   -41.500000                     0.000491          0.007520
   -41.400000                     0.000492          0.007533
   -41.300000                     0.000493          0.007546
   -41.200000                     0.000494          0.007559
   -41.100000                     0.000494          0.007572
   -41.000000                     0.000495          0.007585
   -40.900000                     0.000496          0.007598
   -40.800000                     0.000497          0.007611
   -40.700000                     0.000498          0.007624
   -40.600000                     0.000499          0.007637
   -40.500000                     0.000500          0.007650
   -40.400000                     0.000500          0.007663
   -40.300000                     0.000501          0.007677
   -40.200000                     0.000502          0.007690
   -40.100000                     0.000503          0.007703
   -40.000000                     0.000504          0.007717
   -39.900000                     0.000505          0.007730
   -39.800000                     0.000506          0.007744
   -39.700000                     0.000507          0.007757
   -39.600000                     0.000507          0.007771
   -39.500000                     0.000508          0.007784
   -39.400000                     0.000509          0.007798
   -39.300000                     0.000510          0.007812
   -39.200000                     0.000511          0.007826
   -39.100000                     0.000512          0.007839
   -39.000000                     0.000513          0.007853
   -38.900000                     0.000514          0.007867
   -38.800000                     0.000515          0.007881
   -38.700000                     0.000516          0.007895
   -38.600000                     0.000516          0.007909
   -38.500000                     0.000517          0.007923
   -38.400000                     0.000518          0.007937
   -38.300000                     0.000519          0.007951
   -38.200000                     0.000520          0.007965
   -38.100000                     0.000521          0.007979
   -38.000000                     0.000522          0.007993
   -37.900000                     0.000523          0.008008
   -37.800000                     0.000524          0.008022
   -37.700000                     0.000525          0.008036
   -37.600000                     0.000526          0.008051
   -37.500000                     0.000527          0.008065
   -37.400000                     0.000528          0.008080
   -37.300000                     0.000529          0.008094
   -37.200000                     0.000530          0.008109
   -37.100000                     0.000530          0.008123
   -37.000000                     0.000531          0.008138
   -36.900000                     0.000532          0.008153
   -36.800000                     0.000533          0.008168
   -36.700000                     0.000534          0.008182
   -36.600000                     0.000535          0.008197
   -36.500000                     0.000536          0.008212
   -36.400000                     0.000537          0.008227
   -36.300000                     0.000538          0.008242
   -36.200000                     0.000539          0.008257
   -36.100000                     0.000540          0.008272
   -36.000000                     0.000541          0.008287
   -35.900000                     0.000542          0.008302
   -35.800000                     0.000543          0.008318
   -35.700000                     0.000544          0.008333
   -35.600000                     0.000545          0.008348
   -35.500000                     0.000546          0.008364
   -35.400000                     0.000547          0.008379
   -35.300000                     0.000548          0.008394
   -35.200000                     0.000549          0.008410
   -35.100000                     0.000550          0.008426
   -35.000000                     0.000551          0.008441
   -34.900000                     0.000552          0.008457
   -34.800000                     0.000553          0.008472
   -34.700000                     0.000554          0.008488
   -34.600000                     0.000555          0.008504
   -34.500000                     0.000556          0.008520
   -34.400000                     0.000557          0.008536
   -34.300000                     0.000558          0.008552
   -34.200000                     0.000560          0.008568
   -34.100000                     0.000561          0.008584
   -34.000000                     0.000562          0.008600
   -33.900000                     0.000563          0.008616
   -33.800000                     0.000564          0.008632
   -33.700000                     0.000565          0.008648
   -33.600000                     0.000566          0.008665
   -33.500000                     0.000567          0.008681
   -33.400000                     0.000568          0.008698
   -33.300000                     0.000569          0.008714
   -33.200000                     0.000570          0.008731
   -33.100000                     0.000571          0.008747
   -33.000000                     0.000572          0.008764
   -32.900000                     0.000573          0.008780
   -32.800000                     0.000574          0.008797
   -32.700000                     0.000576          0.008814
   -32.600000                     0.000577          0.008831
   -32.500000                     0.000578          0.008848
   -32.400000                     0.000579          0.008865
   -32.300000                     0.000580          0.008882
   -32.200000                     0.000581          0.008899
   -32.100000                     0.000582          0.008916
   -32.000000                     0.000583          0.008933
   -31.900000                     0.000584          0.008950
   -31.800000                     0.000586          0.008968
   -31.700000                     0.000587          0.008985
   -31.600000                     0.000588          0.009002
   -31.500000                     0.000589          0.009020
   -31.400000                     0.000590          0.009037
   -31.300000                     0.000591          0.009055
   -31.200000                     0.000592          0.009072
   -31.100000                     0.000594          0.009090
   -31.000000                     0.000595          0.009108
   -30.900000                     0.000596          0.009126
   -30.800000                     0.000597          0.009144
   -30.700000                     0.000598          0.009162
   -30.600000                     0.000599          0.009180
   -30.500000                     0.000601          0.009198
   -30.400000                     0.000602          0.009216
   -30.300000                     0.000603          0.009234
   -30.200000                     0.000604          0.009252
   -30.100000                     0.000605          0.009270
   -30.000000                     0.000607          0.009289
   -29.900000                     0.000608          0.009307
   -29.800000                     0.000609          0.009326
   -29.700000                     0.000610          0.009344
   -29.600000                     0.000611          0.009363
   -29.500000                     0.000613          0.009382
   -29.400000                     0.000614          0.009400
   -29.300000                     0.000615          0.009419
   -29.200000                     0.000616          0.009438
   -29.100000                     0.000618          0.009457
   -29.000000                     0.000619          0.009476
   -28.900000                     0.000620          0.009495
   -28.800000                     0.000621          0.009514
   -28.700000                     0.000623          0.009533
   -28.600000                     0.000624          0.009552
   -28.500000                     0.000625          0.009572
   -28.400000                     0.000626          0.009591
   -28.300000                     0.000628          0.009611
   -28.200000                     0.000629          0.009630
   -28.100000                     0.000630          0.009650
   -28.000000                     0.000631          0.009669
   -27.900000                     0.000633          0.009689
   -27.800000                     0.000634          0.009709
   -27.700000                     0.000635          0.009729
   -27.600000                     0.000637          0.009749
   -27.500000                     0.000638          0.009769
   -27.400000                     0.000639          0.009789
   -27.300000                     0.000641          0.009809
   -27.200000                     0.000642          0.009829
   -27.100000                     0.000643          0.009850
   -27.000000                     0.000645          0.009870
   -26.900000                     0.000646          0.009890
   -26.800000                     0.000647          0.009911
   -26.700000                     0.000649          0.009931
   -26.600000                     0.000650          0.009952
   -26.500000                     0.000651          0.009973
   -26.400000                     0.000653          0.009994
   -26.300000                     0.000654          0.010015
   -26.200000                     0.000655          0.010035
   -26.100000                     0.000657          0.010056
   -26.000000                     0.000658          0.010078
   -25.900000                     0.000659          0.010099
   -25.800000                     0.000661          0.010120
   -25.700000                     0.000662          0.010141
   -25.600000                     0.000664          0.010163
   -25.500000                     0.000665          0.010184
   -25.400000                     0.000666          0.010206
   -25.300000                     0.000668          0.010227
   -25.200000                     0.000669          0.010249
   -25.100000                     0.000671          0.010271
   -25.000000                     0.000672          0.010293
   -24.900000                     0.000674          0.010315
   -24.800000                     0.000675          0.010337
   -24.700000                     0.000676          0.010359
   -24.600000                     0.000678          0.010381
   -24.500000                     0.000679          0.010404
   -24.400000                     0.000681          0.010426
   -24.300000                     0.000682          0.010448
   -24.200000                     0.000684          0.010471
   -24.100000                     0.000685          0.010494
   -24.000000                     0.000687          0.010516
   -23.900000                     0.000688          0.010539
   -23.800000                     0.000690          0.010562
   -23.700000                     0.000691          0.010585
   -23.600000                     0.000693          0.010608
   -23.500000                     0.000694          0.010631
   -23.400000                     0.000696          0.010654
   -23.300000                     0.000697          0.010678
   -23.200000                     0.000699          0.010701
   -23.100000                     0.000700          0.010724
   -23.000000                     0.000702          0.010748
   -22.900000                     0.000703          0.010772
   -22.800000                     0.000705          0.010795
   -22.700000                     0.000707          0.010819
   -22.600000                     0.000708          0.010843
   -22.500000                     0.000710          0.010867
   -22.400000                     0.000711          0.010891
   -22.300000                     0.000713          0.010916
   -22.200000                     0.000714          0.010940
   -22.100000                     0.000716          0.010964
   -22.000000                     0.000718          0.010989
   -21.900000                     0.000719          0.011013
   -21.800000                     0.000721          0.011038
   -21.700000                     0.000722          0.011063
   -21.600000                     0.000724          0.011088
   -21.500000                     0.000726          0.011113
   -21.400000                     0.000727          0.011138
   -21.300000                     0.000729          0.011163
   -21.200000                     0.000731          0.011188
   -21.100000                     0.000732          0.011214
   -21.000000                     0.000734          0.011239
   -20.900000                     0.000736          0.011265
   -20.800000                     0.000737          0.011290
   -20.700000                     0.000739          0.011316
   -20.600000                     0.000741          0.011342
   -20.500000                     0.000742          0.011368
   -20.400000                     0.000744          0.011394
   -20.300000                     0.000746          0.011420
   -20.200000                     0.000747          0.011446
   -20.100000                     0.000749          0.011473
   -20.000000                     0.000751          0.011499
   -19.900000                     0.000753          0.011526
   -19.800000                     0.000754          0.011552
   -19.700000                     0.000756          0.011579
   -19.600000                     0.000758          0.011606
   -19.500000                     0.000760          0.011633
   -19.400000                     0.000761          0.011660
   -19.300000                     0.000763          0.011688
   -19.200000                     0.000765          0.011715
   -19.100000                     0.000767          0.011742
   -19.000000                     0.000769          0.011770
   -18.900000                     0.000770          0.011798
   -18.800000                     0.000772          0.011825
   -18.700000                     0.000774          0.011853
   -18.600000                     0.000776          0.011881
   -18.500000                     0.000778          0.011909
   -18.400000                     0.000780          0.011938
   -18.300000                     0.000781          0.011966
   -18.200000                     0.000783          0.011995
   -18.100000                     0.000785          0.012023
   -18.000000                     0.000787          0.012052
   -17.900000                     0.000789          0.012081
   -17.800000                     0.000791          0.012110
   -17.700000                     0.000793          0.012139
   -17.600000                     0.000795          0.012168
   -17.500000                     0.000797          0.012197
   -17.400000                     0.000798          0.012227
   -17.300000                     0.000800          0.012256
   -17.200000                     0.000802          0.012286
   -17.100000                     0.000804          0.012316
   -17.000000                     0.000806          0.012346
   -16.900000                     0.000808          0.012376
   -16.800000                     0.000810          0.012406
   -16.700000                     0.000812          0.012436
   -16.600000                     0.000814          0.012467
   -16.500000                     0.000816          0.012497
   -16.400000                     0.000818          0.012528
   -16.300000                     0.000820          0.012559
   -16.200000                     0.000822          0.012590
   -16.100000                     0.000824          0.012621
   -16.000000                     0.000826          0.012652
   -15.900000                     0.000828          0.012684
   -15.800000                     0.000830          0.012715
   -15.700000                     0.000832          0.012747
   -15.600000                     0.000835          0.012779
   -15.500000                     0.000837          0.012811
   -15.400000                     0.000839          0.012843
   -15.300000                     0.000841          0.012875
   -15.200000                     0.000843          0.012907
   -15.100000                     0.000845          0.012940
   -15.000000                     0.000847          0.012972
   -14.900000                     0.000849          0.013005
   -14.800000                     0.000851          0.013038
   -14.700000                     0.000854          0.013071
   -14.600000                     0.000856          0.013104
   -14.500000                     0.000858          0.013138
   -14.400000                     0.000860          0.013171
   -14.300000                     0.000862          0.013205
   -14.200000                     0.000865          0.013239
   -14.100000                     0.000867          0.013273
   -14.000000                     0.000869          0.013307
   -13.900000                     0.000871          0.013341
