v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   -18.800000                      64.214069          0.007025
   -18.700000                      64.299317          0.007034
   -18.600000                      64.384748          0.007043
   -18.500000                      64.470363          0.007053
   -18.400000                      64.556162          0.007062
   -18.300000                      64.642146          0.007071
   -18.200000                      64.728315          0.007081
   -18.100000                      64.814670          0.007090
   -18.000000                      64.901212          0.007100
   -17.900000                      64.987940          0.007109
   -17.800000                      65.074857          0.007119
   -17.700000                      65.161962          0.007128
   -17.600000                      65.249255          0.007138
   -17.500000                      65.336738          0.007147
   -17.400000                      65.424412          0.007157
   -17.300000                      65.512276          0.007167
   -17.200000                      65.600331          0.007176
   -17.100000                      65.688578          0.007186
   -17.000000                      65.777017          0.007195
   -16.900000                      65.865650          0.007205
   -16.800000                      65.954476          0.007215
   -16.700000                      66.043497          0.007225
   -16.600000                      66.132712          0.007234
   -16.500000                      66.222123          0.007244
   -16.400000                      66.311730          0.007254
   -16.300000                      66.401534          0.007264
   -16.200000                      66.491536          0.007274
   -16.100000                      66.581735          0.007284
   -16.000000                      66.672133          0.007293
   -15.900000                      66.762731          0.007303
   -15.800000                      66.853528          0.007313
   -15.700000                      66.944526          0.007323
   -15.600000                      67.035725          0.007333
   -15.500000                      67.127126          0.007343
   -15.400000                      67.218730          0.007353
   -15.300000                      67.310536          0.007363
   -15.200000                      67.402547          0.007373
   -15.100000                      67.494762          0.007383
   -15.000000                      67.587182          0.007394
   -14.900000                      67.679808          0.007404
   -14.800000                      67.772640          0.007414
   -14.700000                      67.865679          0.007424
   -14.600000                      67.958926          0.007434
   -14.500000                      68.052382          0.007444
   -14.400000                      68.146047          0.007455
   -14.300000                      68.239922          0.007465
   -14.200000                      68.334007          0.007475
   -14.100000                      68.428303          0.007486
   -14.000000                      68.522811          0.007496
   -13.900000                      68.617532          0.007506
   -13.800000                      68.712466          0.007517
   -13.700000                      68.807614          0.007527
   -13.600000                      68.902977          0.007537
   -13.500000                      68.998555          0.007548
   -13.400000                      69.094349          0.007558
   -13.300000                      69.190360          0.007569
   -13.200000                      69.286588          0.007579
   -13.100000                      69.383035          0.007590
   -13.000000                      69.479701          0.007601
   -12.900000                      69.576586          0.007611
   -12.800000                      69.673691          0.007622
   -12.700000                      69.771018          0.007632
   -12.600000                      69.868567          0.007643
   -12.500000                      69.966338          0.007654
   -12.400000                      70.064332          0.007664
   -12.300000                      70.162551          0.007675
   -12.200000                      70.260994          0.007686
   -12.100000                      70.359663          0.007697
   -12.000000                      70.458558          0.007708
   -11.900000                      70.557680          0.007718
   -11.800000                      70.657030          0.007729
   -11.700000                      70.756609          0.007740
   -11.600000                      70.856417          0.007751
   -11.500000                      70.956455          0.007762
   -11.400000                      71.056724          0.007773
   -11.300000                      71.157225          0.007784
   -11.200000                      71.257958          0.007795
   -11.100000                      71.358924          0.007806
   -11.000000                      71.460124          0.007817
   -10.900000                      71.561560          0.007828
   -10.800000                      71.663230          0.007839
   -10.700000                      71.765138          0.007851
   -10.600000                      71.867282          0.007862
   -10.500000                      71.969664          0.007873
   -10.400000                      72.072286          0.007884
   -10.300000                      72.175146          0.007895
   -10.200000                      72.278248          0.007907
